t,yA,yT
0.0,1,0.5
0.1,1.2,0.6574145409621763
0.2,1.419,0.829298620919915
0.30000000000000004,1.6569,1.0150705962119986
0.4,1.9135900000000001,1.2140876511793646
0.5,2.188949,1.425639364649936
0.6000000000000001,2.4828439,1.648940599804746
0.7000000000000001,2.79512829,1.8831236462647623
0.8,3.125641119,2.1272295357537665
0.9,3.4742052309,2.380198444421525
1.0,3.84062575399,2.6408590857704777
1.1,4.224688329389,2.9079169880267832
1.2000000000000002,4.6261571623279,3.1799415386317267
1.3,5.044772878560689,3.455351666190377
1.4000000000000001,5.4802501664167576,3.732400016577664
1.5,5.932275183058433,4.009155464830968
1.6,6.400502701364276,4.283483787802443
1.7000000000000002,6.884552971500704,4.5530263041364005
1.8,7.384008268650774,4.815176267793525
1.9000000000000001,7.898409095515851,5.067052778860367
2.0,8.427250005067437,5.305471950534675
